feature_id_base,feature_id_ft,cosine_sim,freq_base,freq_ft,freq_shift,category
191,472,0.9985775,0.023255022,0.026151251,0.0028962288,stable
192,1773,0.2149274,5.110994e-05,0.18021365,0.18016253,new_dead
193,5506,0.99903935,0.020341756,0.044022694,0.023680938,stable
194,2287,0.99345994,0.42135033,0.58478284,0.16343251,stable
195,2393,0.9989799,0.05475578,0.061093412,0.0063376315,stable
196,4664,0.9990524,0.038383562,0.0476515,0.009267937,stable
197,2216,0.16397735,1.7036646e-05,6.814658e-05,5.1109935e-05,new_dead
198,672,0.44802952,0.00011925652,0.011090856,0.010971599,new_dead
199,3896,0.9907832,0.6822325,0.76998824,0.08775574,stable
200,5080,0.9894169,0.7514524,0.8519345,0.100482106,stable
201,2357,0.2375207,5.110994e-05,0.064994805,0.06494369,new_dead
202,686,0.41050863,0.00052813604,0.038213197,0.037685063,new_dead
203,5538,0.16492513,6.814658e-05,0.00010221988,3.4073295e-05,new_dead
204,1883,0.9987451,0.08576248,0.0641089,-0.021653578,stable
205,5094,0.18375626,1.7036646e-05,5.110994e-05,3.4073295e-05,new_dead
206,3025,0.20702283,0.0,0.04657819,0.04657819,new_dead
207,1407,0.19763273,5.110994e-05,0.020546194,0.020495085,new_dead
208,5116,0.9990201,0.04211459,0.07124725,0.02913266,stable
209,5374,0.17268139,0.0,0.00069850247,0.00069850247,new_dead
210,655,0.22907427,3.407329e-05,0.023715012,0.023680938,new_dead
211,5134,0.19482294,0.0,0.02412389,0.02412389,new_dead
212,5827,0.22637627,0.00013629317,0.0071894648,0.0070531718,new_dead
213,3929,0.1883575,0.0,0.013067108,0.013067108,new_dead
214,4628,0.9990481,0.034260694,0.052046955,0.01778626,stable
215,1175,0.9371095,0.16225702,0.0910268,-0.07123022,stable
216,4732,0.17025568,6.814658e-05,3.407329e-05,-3.407329e-05,new_dead
217,426,0.1796197,0.00010221988,0.21321362,0.2131114,new_dead
218,5093,0.54874,1.7036646e-05,0.026560131,0.026543096,drifted
219,1390,0.2278325,5.110994e-05,0.16024669,0.16019557,new_dead
220,4527,0.7492668,0.07332572,0.083615854,0.010290131,drifted
221,5820,0.9581116,0.07274648,0.10193025,0.029183775,stable
222,1926,0.21162248,8.518323e-05,0.11697361,0.116888426,new_dead
223,4482,0.9935906,0.6250234,0.7078556,0.08283216,stable
224,472,0.9986004,0.02209653,0.026151251,0.0040547214,stable
225,4965,0.15846151,6.814658e-05,1.7036646e-05,-5.1109935e-05,new_dead
226,4628,0.9990437,0.033494044,0.052046955,0.01855291,stable
227,1026,0.99027824,0.6086342,0.7218427,0.11320853,stable
228,2379,0.99393487,0.698724,0.7510776,0.05235362,stable
229,2693,0.9991341,0.053648397,0.05496022,0.0013118237,stable
230,1824,0.3900881,3.407329e-05,0.023186876,0.023152802,new_dead
231,4269,0.9990904,0.033800706,0.07429681,0.040496103,stable
232,3413,0.22777402,1.7036646e-05,0.0112271495,0.011210113,new_dead
233,316,0.952562,0.038076904,0.044942673,0.0068657696,stable
234,3249,0.98976815,0.7179413,0.7990187,0.0810774,stable
235,1498,0.9990278,0.032625176,0.051195122,0.018569946,stable
236,2876,0.9990235,0.040308703,0.056714993,0.01640629,stable
237,2816,0.20282164,0.00011925652,0.0118234325,0.011704176,new_dead
238,1175,0.2300261,8.518323e-05,0.0910268,0.090941615,new_dead
239,1743,0.9990275,0.06518221,0.07813006,0.01294785,stable
240,4482,0.99177265,0.679217,0.7078556,0.028638601,stable
241,3018,0.98765135,0.7152836,0.8430073,0.12772375,stable
242,5545,0.98597986,0.64677924,0.76051587,0.11373663,stable
243,4641,0.9875128,0.6329795,0.7147214,0.08174187,stable
244,1493,0.9976262,0.33945516,0.43549073,0.09603557,stable
245,4269,0.99908954,0.032488883,0.07429681,0.041807927,stable
246,1192,0.23294154,0.00010221988,0.04536859,0.04526637,new_dead
247,3420,0.90387356,0.042813092,0.03678212,-0.006030973,stable
248,5436,0.9740149,0.41276386,0.19236077,-0.22040309,stable
249,649,0.1855618,1.7036646e-05,0.015929263,0.015912227,new_dead
250,1936,0.18914303,6.814658e-05,3.407329e-05,-3.407329e-05,new_dead
251,5463,0.17639157,5.110994e-05,1.7036646e-05,-3.4073295e-05,new_dead
252,693,0.95438474,0.10145322,0.04635671,-0.05509651,stable
253,400,0.97928286,0.22360598,0.25895703,0.035351053,stable
254,4456,0.98864615,0.7355231,0.82898617,0.09346306,stable
255,472,0.9987125,0.020648414,0.026151251,0.005502837,stable
256,5842,0.16411585,1.7036646e-05,3.407329e-05,1.7036646e-05,new_dead
257,4664,0.99905777,0.03133039,0.0476515,0.016321108,stable
258,4870,0.9990163,0.043971583,0.087432064,0.04346048,stable
259,1715,0.99895525,0.04596487,0.07206501,0.02610014,stable
260,1566,0.1913895,0.00010221988,0.022011347,0.021909127,new_dead
261,1715,0.9989578,0.06577849,0.07206501,0.0062865242,stable
262,1148,0.9988871,0.02381723,0.03281258,0.00899535,stable
263,1222,0.9901027,0.7035283,0.7896315,0.0861032,stable
264,289,0.19129184,0.00011925652,0.05835051,0.058231253,new_dead
265,2738,0.8837547,0.049832188,0.03894577,-0.010886416,drifted
266,4468,0.99257576,0.5672351,0.6189754,0.05174029,stable
267,4696,0.69390845,0.012521935,0.03047856,0.017956626,drifted
268,844,0.27499914,0.0,0.013799683,0.013799683,new_dead
269,2317,0.98568594,0.56285673,0.6191117,0.056254983,stable
270,4269,0.9991123,0.039899826,0.07429681,0.034396984,stable
271,1203,0.9871399,0.69105744,0.7850827,0.094025254,stable
272,4758,0.99905235,0.056919433,0.061229706,0.0043102726,stable
273,2227,0.18040784,0.0002214764,0.028723786,0.02850231,new_dead
274,2909,0.16144267,0.00011925652,0.00020443976,8.518324e-05,new_dead
275,1326,0.99089646,0.6860828,0.7749459,0.088863134,stable
276,472,0.9986085,0.023169838,0.026151251,0.0029814132,stable
277,4759,0.9988828,0.03184149,0.039729457,0.007887967,stable
278,1744,0.9744344,0.56440705,0.50121814,-0.06318891,stable
279,4664,0.9990916,0.026270509,0.0476515,0.02138099,stable
280,5506,0.99912447,0.027565293,0.044022694,0.016457401,stable
281,5060,0.9547992,0.16143925,0.11709287,-0.044346385,stable
282,1562,0.15068178,5.110994e-05,1.7036646e-05,-3.4073295e-05,new_dead
283,325,0.2189172,0.0,0.025026834,0.025026834,new_dead
284,4469,0.9934586,0.5547813,0.6497947,0.09501338,stable
285,2686,0.550663,3.407329e-05,0.023783157,0.023749083,drifted
286,3219,0.9392421,0.029984497,0.026236435,-0.0037480611,stable
287,1972,0.99908555,0.050070703,0.07894782,0.028877117,stable
288,5301,0.9756079,0.43315673,0.3783839,-0.054772824,stable
289,2376,0.9381045,0.19794878,0.26195547,0.064006686,stable
290,4514,0.94085205,0.5992129,0.52823824,-0.07097465,stable
291,2829,0.9490216,0.21610986,0.12164165,-0.094468206,stable
292,390,0.9298991,0.03204593,0.01945585,-0.0125900805,stable
293,5185,0.9989483,0.052489907,0.07727823,0.02478832,stable
294,472,0.99839187,0.026219398,0.026151251,-6.8146735e-05,stable
295,609,0.18418705,1.7036646e-05,3.407329e-05,1.7036646e-05,new_dead
296,3663,0.96116585,0.4564458,0.2518868,-0.204559,stable
297,4387,0.98814654,0.69560623,0.8352386,0.13963234,stable
298,71,0.18046643,0.00013629317,0.06668143,0.066545136,new_dead
299,2976,0.22162373,0.0,0.016218888,0.016218888,new_dead
300,5977,0.19434696,5.110994e-05,0.0,-5.110994e-05,new_dead
301,472,0.9985893,0.013101181,0.026151251,0.01305007,stable
302,4968,0.98058736,0.5978329,0.71894646,0.12111354,stable
303,2556,0.20275068,0.0,0.011550846,0.011550846,new_dead
304,3663,0.96692973,0.44353205,0.2518868,-0.19164523,stable
305,4408,0.22938149,6.814658e-05,0.2135714,0.21350326,new_dead
306,353,0.9857042,0.42048144,0.50731725,0.0868358,stable
307,2693,0.9990336,0.025691262,0.05496022,0.02926896,stable
308,4922,0.21120346,3.407329e-05,0.017905515,0.017871441,new_dead
309,1042,0.24004604,0.00010221988,0.19532515,0.19522293,new_dead
310,2468,0.21465576,0.0,0.045743395,0.045743395,new_dead
311,1231,0.22143358,0.0,0.01858698,0.01858698,new_dead
312,472,0.99835384,0.025895702,0.026151251,0.00025554933,stable
313,1832,0.99883527,0.05237065,0.05165511,-0.00071553886,stable
314,3780,0.9989611,0.021517284,0.05375062,0.032233335,stable
315,473,0.15812042,8.518323e-05,3.407329e-05,-5.110994e-05,new_dead
316,770,0.19436765,0.0,0.0708043,0.0708043,new_dead
317,4293,0.26089996,0.0,0.012334531,0.012334531,new_dead
318,5786,0.1747218,0.00013629317,0.0,-0.00013629317,new_dead
319,472,0.9987482,0.020256571,0.026151251,0.0058946796,stable
320,5116,0.9990482,0.043000493,0.07124725,0.028246757,stable
321,483,0.98181045,0.6521628,0.7981328,0.14596999,stable
322,6061,0.205282,3.407329e-05,0.05678314,0.05674907,new_dead
323,3296,0.1342286,6.814658e-05,6.814658e-05,0.0,new_dead
324,2071,0.99278736,0.60394907,0.68543535,0.081486285,stable
325,1832,0.99876815,0.05175733,0.05165511,-0.00010221824,stable
326,2723,0.9990028,0.0478389,0.05501133,0.007172428,stable
327,3619,0.194195,0.00017036646,0.014992248,0.014821881,new_dead
328,4870,0.99903744,0.07366645,0.087432064,0.013765611,stable
329,5483,0.17963234,0.0,0.13666797,0.13666797,new_dead
330,1101,0.16966498,0.00017036646,0.04880999,0.048639625,new_dead
331,5345,0.1824345,1.7036646e-05,0.07933966,0.07932262,new_dead
332,2976,0.9149205,0.012164165,0.016218888,0.0040547224,stable
333,2306,0.97016156,0.30870402,0.36872414,0.06002012,stable
334,4324,0.9569801,0.3073411,0.2916333,-0.01570779,stable
335,2693,0.99910575,0.025844593,0.05496022,0.029115628,stable
336,3614,0.9597858,0.024294257,0.032982945,0.008688688,stable
337,5851,0.977102,0.021091368,0.013987086,-0.0071042823,stable
338,1095,0.9864395,0.4768046,0.52299094,0.046186328,stable
339,4176,0.18639651,0.0,0.00010221988,0.00010221988,new_dead
340,649,0.20277664,0.0,0.015929263,0.015929263,new_dead
341,3663,0.9382013,0.31647274,0.2518868,-0.064585924,stable
342,4092,0.19319111,8.518323e-05,0.11676917,0.11668399,new_dead
343,4664,0.9991128,0.029422287,0.0476515,0.018229213,stable
344,5532,0.9958222,0.46377158,0.62057686,0.15680528,stable
345,2728,0.16503769,5.110994e-05,0.020154351,0.020103242,new_dead
346,1135,0.9452753,0.4034448,0.43104416,0.027599365,stable
347,4023,0.9821937,0.7119444,0.827061,0.115116596,stable
348,1874,0.998828,0.046458934,0.056289077,0.009830143,stable
349,5267,0.9954544,0.42719388,0.4241273,-0.0030665696,stable
350,1101,0.85757565,0.048128523,0.04880999,0.00068146735,drifted
351,1796,0.28612325,1.7036646e-05,0.060940083,0.060923047,new_dead
352,1689,0.9869553,0.007359831,0.005758386,-0.001601445,stable
353,3413,0.20158234,0.0,0.0112271495,0.0112271495,new_dead
354,4440,0.16809887,0.0,3.407329e-05,3.407329e-05,new_dead
355,2367,0.99883354,0.024192037,0.031773344,0.0075813066,stable
356,2061,0.92235565,0.07855597,0.04219977,-0.0363562,stable
357,4269,0.9991124,0.043409374,0.07429681,0.030887436,stable
358,2713,0.98545027,0.46089238,0.461659,0.00076663494,stable
359,2288,0.3395759,1.7036646e-05,0.018808456,0.01879142,new_dead
360,4251,0.9915178,0.63676167,0.72233677,0.085575104,stable
361,1751,0.21271947,1.7036646e-05,0.035470296,0.03545326,new_dead
362,5602,0.15387094,0.0,1.7036646e-05,1.7036646e-05,new_dead
363,3025,0.17666996,1.7036646e-05,0.04657819,0.046561155,new_dead
364,1027,0.20443213,5.110994e-05,0.00013629317,8.518323e-05,new_dead
365,1715,0.99899435,0.0378895,0.07206501,0.03417551,stable
366,2292,0.19276875,5.110994e-05,0.00010221988,5.110994e-05,new_dead
367,2876,0.99899685,0.047004107,0.056714993,0.009710886,stable
368,2077,0.99904376,0.039235394,0.061127484,0.02189209,stable
369,4665,0.9744569,0.017701074,0.012896741,-0.0048043337,stable
370,21,0.22817755,3.407329e-05,0.047958158,0.047924086,new_dead
371,472,0.99865025,0.010750123,0.026151251,0.015401128,stable
372,4664,0.9991069,0.030972622,0.0476515,0.016678877,stable
373,2367,0.99887085,0.020392865,0.031773344,0.011380479,stable
374,2054,0.14159209,1.7036646e-05,5.110994e-05,3.4073295e-05,new_dead
375,1715,0.9989995,0.041722745,0.07206501,0.030342266,stable
376,2373,0.9969926,0.08244033,0.04753224,-0.03490809,stable
377,1651,0.26160622,0.0001533298,0.022488372,0.022335043,new_dead
378,1978,0.99209815,0.6095201,0.76581424,0.15629417,stable
379,4504,0.945072,0.16348365,0.106121264,-0.057362385,stable
380,5185,0.99890465,0.06783992,0.07727823,0.009438306,stable
381,2434,0.19131166,6.814658e-05,0.036032505,0.03596436,new_dead
382,1886,0.9919956,0.61974204,0.71499395,0.09525192,stable
383,2034,0.14442593,0.0001533298,0.05962826,0.05947493,new_dead
384,906,0.19541197,0.00010221988,0.17597151,0.17586929,new_dead
385,4922,0.95822453,0.017036647,0.017905515,0.0008688681,stable
386,4269,0.9990876,0.028519345,0.07429681,0.045777462,stable
387,3352,0.98920697,0.5485459,0.57180095,0.02325505,stable
388,472,0.99857414,0.022846142,0.026151251,0.0033051092,stable
389,406,0.9408967,0.016525546,0.010937527,-0.0055880193,stable
390,1779,0.18780565,1.7036646e-05,0.019183263,0.019166227,new_dead
391,3456,0.9893002,0.56706476,0.74847096,0.1814062,stable
392,1883,0.9987951,0.061843023,0.0641089,0.002265878,stable
393,472,0.99854964,0.02276096,0.026151251,0.0033902917,stable
394,6013,0.19002819,5.110994e-05,0.016338143,0.016287034,new_dead
395,1566,0.16839655,5.110994e-05,0.022011347,0.021960238,new_dead
396,4269,0.99908686,0.03264221,0.07429681,0.041654598,stable
